VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,bonf_significant,rank,Cluster ID,Cluster name,Supercluster,Class auto-annotation,Top three regions
Cluster113,COVAR,16231,0.70646,0.0017771,4.6651,0.43982,False,343,113.0,L5ET_113,Miscellaneous,NEUR,"Cerebral cortex: 100.0%, Amygdala: 0.0%, Hippocampus: 0.0%"
Cluster197,COVAR,16231,0.99657,0.0018094,6.6402,0.44035,False,344,197.0,CA4_197,Hippocampal CA4,NEUR,"Hippocampus: 99.7%, Midbrain: 0.3%, Cerebral cortex: 0.0%"
Cluster326,COVAR,16231,0.78453,0.001501,6.3979,0.4512,False,345,326.0,Mmb_326,Mammillary body,NEUR,"Hypothalamus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%"
Cluster412,COVAR,16231,0.57975,0.0014892,4.8557,0.45248,False,346,412.0,Splat_412,Splatter,NEUR,"Hypothalamus: 97.4%, Midbrain: 2.2%, Thalamus: 0.3%"
Cluster183,COVAR,16231,0.76614,0.0013786,6.4357,0.45262,False,347,183.0,CA13_183,Hippocampal CA1-3,NEUR,"Hippocampus: 99.9%, Amygdala: 0.0%, Cerebral cortex: 0.0%"
Cluster190,COVAR,16231,0.50448,0.001056,5.506,0.4635,False,348,190.0,CA4_190,Hippocampal CA4,NEUR,"Hippocampus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%"
Cluster324,COVAR,16231,0.32299,0.00061918,6.4646,0.48008,False,349,324.0,Mmb_324,Mammillary body,NEUR,"Hypothalamus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%"
Cluster165,COVAR,16231,0.25207,0.0004793,6.2628,0.48395,False,350,165.0,Misc_165,Miscellaneous,NEUR,"Cerebral cortex: 92.1%, Hippocampus: 5.0%, Amygdala: 2.8%"
Cluster302,COVAR,16231,0.1269,0.00039618,3.8238,0.48676,False,351,302.0,CBI_302,Cerebellar inhibitory,NEUR,"Cerebellum: 60.1%, Medulla: 19.0%, Pons: 15.3%"
Cluster174,COVAR,16231,0.019456,3.3089e-05,6.882,0.49887,False,352,174.0,Amex_174,Amygdala excitatory,NEUR,"Cerebral cortex: 84.3%, Amygdala: 10.2%, Hippocampus: 5.2%"
Cluster409,COVAR,16231,-0.15078,-0.0004151,3.9782,0.51512,False,353,409.0,Splat_409,Splatter,NEUR,"Basal forebrain: 66.5%, Amygdala: 14.2%, Thalamus: 9.9%"
Cluster459,COVAR,16231,-0.32463,-0.0005813,6.8751,0.51883,False,354,459.0,Thex_459,Thalamic excitatory,NEUR,"Thalamus: 89.9%, Amygdala: 9.2%, Midbrain: 0.6%"
Cluster44,COVAR,16231,-0.21693,-0.00073055,3.4009,0.52543,False,355,44.0,Oligo_44,Oligodendrocyte,OLIGO,"Thalamus: 20.9%, Pons: 19.2%, Midbrain: 19.1%"
Cluster39,COVAR,16231,-0.16036,-0.00073208,2.4584,0.526,False,356,39.0,COP_39,Committed oligodendrocyte precursor,OLIGO,"Cerebral cortex: 28.1%, Hippocampus: 19.7%, Amygdala: 14.6%"
Cluster84,COVAR,16231,-0.74723,-0.0012269,7.3443,0.54052,False,357,84.0,DLCT6b_84,Deep-layer corticothalamic and 6b,NEUR,"Hippocampus: 98.5%, Amygdala: 0.8%, Cerebral cortex: 0.7%"
Cluster55,COVAR,16231,-0.38058,-0.0012717,3.5643,0.54252,False,358,55.0,Astro_55,Astrocyte,ASTRO,"Basal forebrain: 82.4%, Thalamus: 7.0%, Hypothalamus: 5.0%"
Cluster402,COVAR,16231,-0.64145,-0.0012713,5.8179,0.5439,False,359,402.0,Splat_402,Splatter,NEUR,"Midbrain: 58.2%, Hypothalamus: 41.6%, Amygdala: 0.1%"
Cluster449,COVAR,16231,-0.81964,-0.0015833,6.0771,0.55364,False,360,449.0,Thex_449,Thalamic excitatory,,"Thalamus: 98.7%, Amygdala: 1.0%, Midbrain: 0.3%"
Cluster454,COVAR,16231,-1.0634,-0.001844,6.8898,0.56133,False,361,454.0,Thex_454,Thalamic excitatory,,"Thalamus: 99.5%, Midbrain: 0.5%, Cerebral cortex: 0.0%"
Cluster111,COVAR,16231,-1.1313,-0.0021016,6.3943,0.57021,False,362,111.0,DLCT6b_111,Deep-layer corticothalamic and 6b,NEUR,"Hippocampus: 92.5%, Amygdala: 6.3%, Cerebral cortex: 1.2%"
Cluster182,COVAR,16231,-1.1275,-0.0024403,5.5318,0.58075,False,363,182.0,CA13_182,Hippocampal CA1-3,NEUR,"Hippocampus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%"
Cluster315,COVAR,16231,-1.2914,-0.0024142,6.2696,0.58159,False,364,315.0,LRL_315,Lower rhombic lip,NEUR,"Pons: 95.9%, Medulla: 1.9%, Cerebral cortex: 1.5%"
Cluster119,COVAR,16231,-1.1385,-0.0026561,5.3488,0.58428,False,365,119.0,CA13_119,Hippocampal CA1-3,NEUR,"Hippocampus: 97.3%, Amygdala: 1.5%, Cerebral cortex: 1.3%"
Cluster451,COVAR,16231,-1.3475,-0.0027614,5.7809,0.59216,False,366,451.0,Thex_451,Thalamic excitatory,,"Thalamus: 99.9%, Midbrain: 0.1%, Hypothalamus: 0.0%"
Cluster97,COVAR,16231,-1.2654,-0.0028192,5.1119,0.59776,False,367,97.0,DLCT6b_97,Deep-layer corticothalamic and 6b,NEUR,"Cerebral cortex: 54.4%, Hippocampus: 42.5%, Amygdala: 2.1%"
Cluster372,COVAR,16231,-1.9669,-0.0031863,7.5363,0.60295,False,368,372.0,Thex_372,Thalamic excitatory,NEUR,"Midbrain: 53.2%, Thalamus: 44.2%, Cerebral cortex: 2.5%"
Cluster32,COVAR,16231,-1.2317,-0.0036122,4.08,0.61863,False,369,32.0,OPC_32,Oligodendrocyte precursor,OPC,"Hypothalamus: 54.7%, Thalamus: 16.6%, Amygdala: 8.5%"
Cluster325,COVAR,16231,-2.0225,-0.0037153,6.6905,0.61878,False,370,325.0,Mmb_325,Mammillary body,NEUR,"Hypothalamus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%"
Cluster53,COVAR,16231,-1.0384,-0.0036444,3.3613,0.62131,False,371,53.0,Astro_53,Astrocyte,ASTRO,"Hippocampus: 96.3%, Cerebral cortex: 1.5%, Basal forebrain: 1.3%"
Cluster215,COVAR,16231,-1.8942,-0.0040735,5.3051,0.63947,False,372,215.0,MSN_215,Medium spiny neuron,NEUR,"Basal forebrain: 85.0%, Amygdala: 9.2%, Cerebral cortex: 3.6%"
Cluster458,COVAR,16231,-2.1825,-0.0044578,5.8719,0.64493,False,373,458.0,Thex_458,Thalamic excitatory,NEUR,"Thalamus: 93.6%, Midbrain: 6.4%, Amygdala: 0.0%"
Cluster297,COVAR,16231,-0.58008,-0.0052898,1.2894,0.6736,False,374,297.0,URL_297,Upper rhombic lip,,"Midbrain: 97.1%, Thalamus: 2.9%, Cerebral cortex: 0.0%"
Cluster58,COVAR,16231,-1.5575,-0.0056324,3.3073,0.68115,False,375,58.0,Astro_58,Astrocyte,ASTRO,"Cerebral cortex: 57.1%, Hippocampus: 37.8%, Amygdala: 3.0%"
Cluster103,COVAR,16231,-2.5784,-0.0055099,5.2905,0.687,False,376,103.0,DLCT6b_103,Deep-layer corticothalamic and 6b,NEUR,"Cerebral cortex: 62.0%, Hippocampus: 25.8%, Amygdala: 12.1%"
Cluster126,COVAR,16231,-2.9836,-0.0064174,5.7531,0.69798,False,377,126.0,ULIT_126,Upper-layer intratelencephalic,NEUR,"Cerebral cortex: 90.8%, Basal forebrain: 3.3%, Hypothalamus: 2.9%"
Cluster450,COVAR,16231,-3.0329,-0.0064802,5.5362,0.70809,False,378,450.0,Thex_450,Thalamic excitatory,,"Thalamus: 99.9%, Basal forebrain: 0.0%, Hypothalamus: 0.0%"
Cluster38,COVAR,16231,-1.9529,-0.0066424,3.466,0.71343,False,379,38.0,COP_38,Committed oligodendrocyte precursor,OLIGO,"Hippocampus: 29.9%, Cerebral cortex: 29.5%, Pons: 7.8%"
Cluster20,COVAR,16231,-1.052,-0.0068376,1.8152,0.71889,False,380,20.0,Vsmc_20,Vascular,VSMC,"Thalamus: 21.8%, Cerebral cortex: 13.7%, Medulla: 12.4%"
Cluster186,COVAR,16231,-3.5395,-0.0068843,6.0522,0.72066,False,381,186.0,CA13_186,Hippocampal CA1-3,NEUR,"Hippocampus: 98.7%, Cerebral cortex: 1.1%, Amygdala: 0.2%"
Cluster48,COVAR,16231,-1.7124,-0.0068929,2.8092,0.72892,False,382,48.0,Oligo_48,Oligodendrocyte,OLIGO,"Basal forebrain: 47.8%, Thalamus: 42.2%, Hypothalamus: 5.3%"
Cluster171,COVAR,16231,-3.3598,-0.0070902,5.4827,0.72999,False,383,171.0,Amex_171,Amygdala excitatory,NEUR,"Hippocampus: 93.7%, Amygdala: 5.7%, Cerebral cortex: 0.3%"
Cluster172,COVAR,16231,-4.5105,-0.0074757,7.2928,0.73187,False,384,172.0,Amex_172,Amygdala excitatory,NEUR,"Cerebral cortex: 90.6%, Hippocampus: 8.8%, Amygdala: 0.6%"
Cluster19,COVAR,16231,-1.1225,-0.0079036,1.6565,0.751,False,385,19.0,Vsmc_19,Vascular,ENDO VSMC,"Thalamus: 28.4%, Midbrain: 12.2%, Medulla: 11.8%"
Cluster452,COVAR,16231,-3.614,-0.0080998,5.0775,0.76169,False,386,452.0,Thex_452,Thalamic excitatory,,"Thalamus: 98.9%, Midbrain: 1.1%, Amygdala: 0.0%"
Cluster15,COVAR,16231,-1.11,-0.0085389,1.4914,0.77164,False,387,15.0,VendC_15,Vascular,ENDO,"Cerebral cortex: 23.2%, Hippocampus: 15.7%, Thalamus: 15.3%"
Cluster16,COVAR,16231,-1.3463,-0.0085233,1.8025,0.77243,False,388,16.0,VendVC_16,Vascular,ENDO,"Cerebral cortex: 25.5%, Hippocampus: 17.8%, Midbrain: 8.4%"
Cluster192,COVAR,16231,-3.7812,-0.0090968,5.0452,0.77321,False,389,192.0,CA4_192,Hippocampal CA4,NEUR,"Hippocampus: 99.6%, Cerebral cortex: 0.4%, Amygdala: 0.0%"
Cluster199,COVAR,16231,-3.5284,-0.0090145,4.4384,0.78668,False,390,199.0,DG_199,Hippocampal dentate gyrus,NEUR,"Hippocampus: 96.8%, Thalamus: 3.2%, Cerebral cortex: 0.0%"
Cluster322,COVAR,16231,-3.5164,-0.0096356,4.3499,0.79056,False,391,322.0,LRL_322,Lower rhombic lip,NEUR,"Pons: 83.9%, Medulla: 15.5%, Cerebral cortex: 0.4%"
Cluster49,COVAR,16231,-2.8279,-0.0095927,3.3582,0.80012,False,392,49.0,Oligo_49,Oligodendrocyte,OLIGO,"Pons: 30.3%, Midbrain: 20.2%, Medulla: 12.2%"
Cluster314,COVAR,16231,-1.5828,-0.0093215,1.8596,0.80264,False,393,314.0,Misc_314,Miscellaneous,NEUR,"Medulla: 35.7%, Pons: 33.3%, Cerebellum: 26.2%"
Cluster2,COVAR,16231,-0.65582,-0.010286,0.72414,0.81743,False,394,2.0,Nkcell_2,Miscellaneous,NK,"Thalamus: 17.6%, Cerebral cortex: 15.5%, Basal forebrain: 14.8%"
Cluster321,COVAR,16231,-5.8692,-0.011558,6.1435,0.83029,False,395,321.0,LRL_321,Lower rhombic lip,NEUR,"Pons: 95.9%, Medulla: 3.3%, Midbrain: 0.4%"
Cluster14,COVAR,16231,-1.5617,-0.011452,1.5915,0.83677,False,396,14.0,VendAC_14,Vascular,ENDO,"Hippocampus: 23.8%, Cerebral cortex: 23.3%, Thalamus: 10.3%"
Cluster448,COVAR,16231,-4.2556,-0.011883,4.2856,0.83963,False,397,448.0,Thex_448,Thalamic excitatory,NEUR,"Thalamus: 99.7%, Amygdala: 0.3%, Basal forebrain: 0.0%"
Cluster63,COVAR,16231,-2.8871,-0.012124,2.7666,0.85164,False,398,63.0,Astro_63,Astrocyte,ASTRO,"Medulla: 38.6%, Spinal cord: 20.0%, Pons: 15.4%"
Cluster205,COVAR,16231,-7.3303,-0.012502,7.0041,0.85234,False,399,205.0,DG_205,Hippocampal dentate gyrus,NEUR,"Hippocampus: 96.5%, Midbrain: 3.4%, Thalamus: 0.0%"
Cluster204,COVAR,16231,-6.4497,-0.012528,5.9877,0.85928,False,400,204.0,DG_204,Hippocampal dentate gyrus,NEUR,"Hippocampus: 98.3%, Thalamus: 1.7%, Cerebral cortex: 0.0%"
Cluster61,COVAR,16231,-3.216,-0.013086,2.9251,0.8642,False,401,61.0,Astro_61,Astrocyte,ASTRO,"Hippocampus: 47.7%, Cerebral cortex: 21.1%, Basal forebrain: 19.2%"
Cluster175,COVAR,16231,-8.6751,-0.014167,7.3516,0.88099,False,402,175.0,Amex_175,Amygdala excitatory,NEUR,"Cerebral cortex: 91.3%, Hippocampus: 7.3%, Amygdala: 1.2%"
Cluster184,COVAR,16231,-5.9063,-0.014756,4.7289,0.89415,False,403,184.0,CA13_184,Hippocampal CA1-3,NEUR,"Hippocampus: 100.0%, Amygdala: 0.0%, Cerebral cortex: 0.0%"
Cluster338,COVAR,16231,-5.9131,-0.015505,4.6618,0.89767,False,404,338.0,Splat_338,Splatter,NEUR,"Medulla: 99.1%, Basal forebrain: 0.6%, Pons: 0.3%"
Cluster23,COVAR,16231,-2.7439,-0.014536,2.157,0.89832,False,405,23.0,Per_23,Vascular,,"Thalamus: 48.8%, Cerebral cortex: 25.0%, Basal forebrain: 10.7%"
Cluster17,COVAR,16231,-1.6134,-0.014614,1.2497,0.90163,False,406,17.0,VendV_17,Vascular,ENDO,"Hypothalamus: 26.7%, Medulla: 21.8%, Pons: 15.8%"
Cluster336,COVAR,16231,-6.3102,-0.015394,4.8819,0.9019,False,407,336.0,Splat_336,Splatter,NEUR,"Midbrain: 91.5%, Thalamus: 8.1%, Medulla: 0.3%"
Cluster22,COVAR,16231,-2.7103,-0.015175,2.045,0.90746,False,408,22.0,Per_22,Vascular,PER,"Thalamus: 34.2%, Cerebral cortex: 15.9%, Basal forebrain: 10.2%"
Cluster29,COVAR,16231,-2.084,-0.015577,1.5147,0.91554,False,409,29.0,Fbl_29,Fibroblast,,"Medulla: 41.3%, Spinal cord: 39.7%, Thalamus: 4.8%"
Cluster65,COVAR,16231,-3.9387,-0.016252,2.8164,0.919,False,410,65.0,Epen_65,Ependymal,EPEN,"Midbrain: 28.4%, Hippocampus: 12.5%, Pons: 12.5%"
Cluster1,COVAR,16231,-1.2624,-0.016557,0.89905,0.91985,False,411,1.0,Tcell_1,Miscellaneous,TCELL,"Midbrain: 15.0%, Basal forebrain: 14.0%, Pons: 13.2%"
Cluster453,COVAR,16231,-7.7465,-0.016771,5.5077,0.9202,False,412,453.0,Thex_453,Thalamic excitatory,,"Thalamus: 82.7%, Midbrain: 17.3%, Cerebral cortex: 0.0%"
Cluster337,COVAR,16231,-6.5733,-0.016916,4.5562,0.92544,False,413,337.0,Splat_337,Splatter,NEUR,"Basal forebrain: 81.9%, Midbrain: 17.6%, Hypothalamus: 0.5%"
Cluster30,COVAR,16231,-3.5508,-0.016801,2.4425,0.92698,False,414,30.0,Fbl_30,Fibroblast,CHRP,"Cerebral cortex: 35.3%, Basal forebrain: 29.7%, Medulla: 10.6%"
Cluster13,COVAR,16231,-1.961,-0.016439,1.3413,0.92813,False,415,13.0,VendPLVAP_13,Vascular,CHRP ENDO,"Basal forebrain: 74.0%, Medulla: 23.3%, Hippocampus: 1.4%"
Cluster317,COVAR,16231,-8.4608,-0.020788,5.2965,0.9449,False,416,317.0,LRL_317,Lower rhombic lip,NEUR,"Pons: 97.6%, Medulla: 2.1%, Midbrain: 0.2%"
Cluster0,COVAR,16231,-1.465,-0.018497,0.89616,0.94894,False,417,0.0,Bcell_0,Miscellaneous,BCELL,"Midbrain: 21.0%, Basal forebrain: 19.0%, Pons: 14.3%"
Cluster26,COVAR,16231,-3.8074,-0.019008,2.3288,0.94895,False,418,26.0,Fbl_26,Fibroblast,FIB,"Thalamus: 20.7%, Basal forebrain: 15.4%, Pons: 13.1%"
Cluster319,COVAR,16231,-9.7117,-0.02024,5.8442,0.95171,False,419,319.0,LRL_319,Lower rhombic lip,NEUR,"Pons: 97.8%, Midbrain: 1.2%, Medulla: 1.0%"
Cluster50,COVAR,16231,-4.0371,-0.019668,2.3067,0.95994,False,420,50.0,Oligo_50,Oligodendrocyte,OLIGO,"Hypothalamus: 90.7%, Thalamus: 3.6%, Basal forebrain: 3.6%"
Cluster27,COVAR,16231,-4.4817,-0.020523,2.5306,0.96171,False,421,27.0,Fbl_27,Fibroblast,FIB,"Thalamus: 34.3%, Cerebral cortex: 15.0%, Pons: 13.3%"
Cluster21,COVAR,16231,-3.455,-0.021239,1.8929,0.966,False,422,21.0,Per_21,Vascular,PER,"Thalamus: 28.3%, Pons: 17.9%, Basal forebrain: 9.8%"
Cluster18,COVAR,16231,-2.3591,-0.020695,1.2916,0.9661,False,423,18.0,VendA_18,Vascular,ENDO,"Cerebral cortex: 23.3%, Medulla: 16.4%, Thalamus: 14.6%"
Cluster320,COVAR,16231,-9.9022,-0.023228,5.3717,0.96735,False,424,320.0,LRL_320,Lower rhombic lip,NEUR,"Pons: 90.4%, Medulla: 6.2%, Basal forebrain: 3.2%"
Cluster342,COVAR,16231,-8.3369,-0.022779,4.5078,0.96779,False,425,342.0,Splat_342,Splatter,NEUR,"Cerebellum: 97.0%, Pons: 1.8%, Midbrain: 0.8%"
Cluster75,COVAR,16231,-5.855,-0.0213,3.0667,0.97187,False,426,75.0,COP_75,Committed oligodendrocyte precursor,CHRP EPEN NEUR,"Medulla: 38.6%, Basal forebrain: 32.9%, Thalamus: 15.7%"
Cluster432,COVAR,16231,-6.5531,-0.023449,3.4177,0.9724,False,427,432.0,Splat_432,Splatter,NEUR,"Hypothalamus: 79.8%, Midbrain: 19.6%, Thalamus: 0.6%"
Cluster73,COVAR,16231,-4.4568,-0.022002,2.3119,0.97305,False,428,73.0,Epen_73,Ependymal,EPEN,"Hippocampus: 85.9%, Amygdala: 8.2%, Basal forebrain: 1.9%"
Cluster67,COVAR,16231,-3.75,-0.021949,1.9426,0.97321,False,429,67.0,Epen_67,Ependymal,CHRP EPEN,"Medulla: 52.7%, Spinal cord: 22.3%, Pons: 17.8%"
Cluster72,COVAR,16231,-4.9987,-0.023653,2.4247,0.98037,False,430,72.0,Epen_72,Ependymal,EPEN,"Hippocampus: 53.2%, Amygdala: 20.2%, Basal forebrain: 7.9%"
Cluster64,COVAR,16231,-4.9462,-0.024298,2.3649,0.98175,False,431,64.0,Astro_64,Astrocyte,ASTRO,"Hypothalamus: 93.0%, Amygdala: 1.6%, Thalamus: 1.6%"
Cluster71,COVAR,16231,-4.7507,-0.023926,2.2627,0.98211,False,432,71.0,Epen_71,Ependymal,EPEN,"Basal forebrain: 41.0%, Hypothalamus: 26.7%, Thalamus: 14.5%"
Cluster82,COVAR,16231,-4.5618,-0.024057,2.1475,0.98317,False,433,82.0,Chrp_82,Choroid plexus,CHRP,"Basal forebrain: 76.6%, Medulla: 22.2%, Pons: 1.2%"
Cluster28,COVAR,16231,-4.095,-0.02439,1.9262,0.98324,False,434,28.0,Fbl_28,Fibroblast,FIB,"Thalamus: 36.4%, Cerebral cortex: 12.1%, Pons: 11.0%"
Cluster74,COVAR,16231,-5.28,-0.025309,2.403,0.98599,False,435,74.0,Epen_74,Ependymal,CHRP EPEN,"Basal forebrain: 68.3%, Thalamus: 13.3%, Medulla: 7.3%"
Cluster25,COVAR,16231,-5.2502,-0.025742,2.3874,0.98605,False,436,25.0,Fbl_25,Fibroblast,FIB,"Thalamus: 22.3%, Cerebral cortex: 20.0%, Pons: 15.0%"
Cluster3,COVAR,16231,-1.7606,-0.026746,0.78612,0.98743,False,437,3.0,Mono_3,Miscellaneous,MONO,"Thalamus: 21.9%, Pons: 16.1%, Basal forebrain: 13.9%"
Cluster318,COVAR,16231,-13.088,-0.028393,5.6574,0.98964,False,438,318.0,LRL_318,Lower rhombic lip,NEUR,"Pons: 98.8%, Medulla: 0.7%, Midbrain: 0.5%"
Cluster68,COVAR,16231,-3.5111,-0.026436,1.5045,0.99019,False,439,68.0,Epen_68,Ependymal,CHRP EPEN,"Medulla: 29.8%, Pons: 23.1%, Thalamus: 13.7%"
Cluster70,COVAR,16231,-5.2804,-0.026762,2.2473,0.9906,False,440,70.0,Epen_70,Ependymal,EPEN,"Thalamus: 41.0%, Amygdala: 21.3%, Midbrain: 17.1%"
Cluster24,COVAR,16231,-4.5452,-0.028035,1.8619,0.99267,False,441,24.0,Fbl_24,Fibroblast,FIB,"Basal forebrain: 38.0%, Medulla: 32.3%, Hippocampus: 25.1%"
Cluster460,COVAR,16231,-6.2452,-0.038857,2.2535,0.9972,False,442,460.0,Thex_460,Thalamic excitatory,NEUR,"Thalamus: 98.9%, Midbrain: 0.9%, Cerebral cortex: 0.1%"
Cluster66,COVAR,16231,-4.8876,-0.033153,1.7103,0.99786,False,443,66.0,Epen_66,Ependymal,CHRP EPEN,"Medulla: 83.1%, Pons: 16.0%, Midbrain: 0.4%"
Cluster9,COVAR,16231,-4.731,-0.033535,1.6316,0.99813,False,444,9.0,Mgl_9,Microglia,MGL,"Cerebral cortex: 27.2%, Midbrain: 16.6%, Hippocampus: 15.0%"
Cluster4,COVAR,16231,-3.8441,-0.03376,1.3212,0.99819,False,445,4.0,Mgl_4,Microglia,MGL,"Spinal cord: 31.8%, Pons: 26.0%, Medulla: 13.2%"
Cluster8,COVAR,16231,-5.2626,-0.033993,1.7999,0.99827,False,446,8.0,Mgl_8,Microglia,MGL,"Hippocampus: 19.2%, Midbrain: 18.4%, Basal forebrain: 11.1%"
Cluster69,COVAR,16231,-5.5344,-0.034022,1.8717,0.99844,False,447,69.0,Epen_69,Ependymal,EPEN,"Hippocampus: 69.2%, Basal forebrain: 11.2%, Amygdala: 7.6%"
Cluster10,COVAR,16231,-5.3164,-0.035033,1.7515,0.9988,False,448,10.0,Mgl_10,Microglia,MGL,"Basal forebrain: 27.7%, Midbrain: 22.1%, Cerebral cortex: 10.3%"
Cluster316,COVAR,16231,-14.704,-0.039439,4.702,0.99912,False,449,316.0,LRL_316,Lower rhombic lip,NEUR,"Pons: 76.6%, Medulla: 22.0%, Midbrain: 0.6%"
Cluster11,COVAR,16231,-5.8651,-0.038,1.7706,0.99954,False,450,11.0,Mgl_11,Microglia,MGL,"Cerebral cortex: 37.4%, Hippocampus: 24.2%, Thalamus: 11.1%"
Cluster79,COVAR,16231,-8.7735,-0.038704,2.5892,0.99965,False,451,79.0,Chrp_79,Choroid plexus,CHRP,"Basal forebrain: 94.0%, Medulla: 5.0%, Hippocampus: 0.5%"
Cluster7,COVAR,16231,-5.4291,-0.039052,1.5962,0.99966,False,452,7.0,Mgl_7,Microglia,MGL,"Basal forebrain: 32.0%, Midbrain: 19.4%, Pons: 12.5%"
Cluster80,COVAR,16231,-8.8606,-0.038825,2.5949,0.99968,False,453,80.0,Chrp_80,Choroid plexus,CHRP,"Basal forebrain: 94.8%, Medulla: 4.5%, Hippocampus: 0.4%"
Cluster6,COVAR,16231,-5.7104,-0.039486,1.6647,0.9997,False,454,6.0,Mgl_6,Microglia,MGL,"Hippocampus: 25.1%, Basal forebrain: 15.2%, Thalamus: 11.0%"
Cluster31,COVAR,16231,-6.3311,-0.039675,1.8382,0.99971,False,455,31.0,Fbl_31,Fibroblast,CHRP,"Basal forebrain: 47.3%, Medulla: 20.3%, Hypothalamus: 12.4%"
Cluster81,COVAR,16231,-9.6502,-0.041708,2.6573,0.99986,False,456,81.0,Chrp_81,Choroid plexus,CHRP,"Basal forebrain: 73.7%, Medulla: 25.6%, Pons: 0.6%"
Cluster12,COVAR,16231,-4.9564,-0.040816,1.3623,0.99986,False,457,12.0,Mgl_12,Microglia,MAC,"Basal forebrain: 29.4%, Cerebral cortex: 14.0%, Cerebellum: 12.2%"
Cluster5,COVAR,16231,-5.5183,-0.042967,1.4889,0.99989,False,458,5.0,Mgl_5,Microglia,MGL,"Hippocampus: 40.4%, Medulla: 29.6%, Basal forebrain: 20.1%"
Cluster78,COVAR,16231,-9.869,-0.043556,2.5955,0.99993,False,459,78.0,Chrp_78,Choroid plexus,CHRP,"Basal forebrain: 92.5%, Medulla: 6.3%, Thalamus: 0.6%"
Cluster77,COVAR,16231,-9.6144,-0.043401,2.5264,0.99993,False,460,77.0,Chrp_77,Choroid plexus,CHRP,"Basal forebrain: 49.7%, Medulla: 46.2%, Hippocampus: 3.0%"
Cluster76,COVAR,16231,-10.2,-0.043144,2.6482,0.99994,False,461,76.0,Chrp_76,Choroid plexus,CHRP EPEN OLIGO,"Basal forebrain: 55.4%, Medulla: 31.7%, Thalamus: 8.9%"
